Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Shazam Counts
73.9,1151629030.0,201783.0,55679157.0,77.0,6111089.0,1448920.0,467181048.0,3401301248.0,244384379.0,164.0,173512.0,1303.0,63.0,488896.0,60.0,6239619.0
73.6,318567928.0,42351.0,29908589.0,69.0,1792729.0,263600.0,102425830.0,797526303.0,511333068.0,43.0,16430.0,17.0,28.0,608263.0,45.0,857885.0
73.5,1615353665.0,219797.0,40289611.0,76.0,1378012.0,329183.0,40216565.0,294545167.0,32.0,37.0,610.0,31.0,25.0,136348.0,2.0,3146346.0
73.2,155390490.0,51032.0,16505336.0,68.0,1021624.0,1871311.0,80258156.0,1043240094.0,42080992.0,99.0,40272.0,339.0,33.0,903393.0,60.0,2290047.0
72.8,2188247133.0,121479.0,201964859.0,88.0,2291619.0,3233521.0,465904062.0,4967025679.0,822448758.0,273.0,913464.0,1264.0,122.0,21554174.0,117.0,3476323.0
72.0,29994527.0,1665.0,25533535.0,57.0,1520092.0,38704.0,1533045.0,5347400.0,35590514.0,12.0,1664.0,12.0,7.0,477416.0,45.0,69265.0
71.7,731933924.0,186835.0,18420557.0,70.0,4951977.0,393517.0,18913500.0,173278256.0,7568168.0,40.0,1919.0,51.0,12.0,37259.0,2.0,1966253.0
71.5,1829733410.0,157465.0,49558504.0,76.0,16916871.0,104685.0,38075232.0,346032878.0,1811140554.0,154.0,41483.0,123.0,107.0,566690.0,28.0,12259073.0
71.0,1752826514.0,352833.0,87651528.0,74.0,22532779.0,312945.0,551329120.0,4679645090.0,490308209.0,202.0,301048.0,474.0,115.0,967797.0,71.0,37339828.0
70.6,858059276.0,181654.0,27803039.0,70.0,3626173.0,732132.0,48817948.0,417831392.0,25717036.0,46.0,31276.0,73.0,16.0,326481.0,15.0,2592470.0
70.4,891578597.0,134151.0,56220971.0,82.0,612540.0,428919.0,61522352.0,536850823.0,545454569.0,78.0,8.0,86.0,37.0,4894376.0,69.0,1548284.0
69.7,811700245.0,195603.0,31185690.0,77.0,1450642.0,321061.0,90460360.0,752325431.0,214637799.0,39.0,5018.0,232.0,18.0,217873.0,8.0,925014.0
69.6,1615152539.0,377159.0,51251842.0,76.0,7755679.0,111904.0,56162755.0,430258743.0,5477326.0,271.0,52893.0,137.0,69.0,241966.0,86.0,12370090.0
69.3,644437397.0,64367.0,18795673.0,79.0,814824.0,128357.0,28267176.0,327463451.0,437506457.0,49.0,340292.0,301.0,7.0,100845.0,29.0,899954.0
68.7,1318254846.0,159832.0,44868247.0,71.0,8633372.0,535956.0,20456871.0,244589825.0,518407208.0,163.0,104438.0,100.0,94.0,1189554.0,66.0,6952792.0
68.7,907346612.0,200091.0,36757073.0,69.0,3400085.0,145147.0,27666027.0,245290801.0,39893642.0,91.0,644.0,34.0,15.0,102131.0,7.0,5562800.0
67.9,912461674.0,160875.0,50549340.0,70.0,2666083.0,7407429.0,285084510.0,3076620938.0,19649172.0,210.0,270224.0,389.0,124.0,834608.0,50.0,8738165.0
67.8,1442703001.0,201082.0,35338608.0,78.0,7439249.0,699601.0,36684132.0,325870631.0,1874799.0,15.0,4.0,4.0,5.0,2958.0,6.0,4703306.0
66.8,922761340.0,176497.0,26466335.0,74.0,5223780.0,5114497.0,684428445.0,5254571599.0,110233854.0,99.0,6060.0,48.0,42.0,178187.0,3.0,4594225.0
65.7,717226454.0,73851.0,11500647.0,79.0,2296639.0,55649.0,7599044.0,86145458.0,350781335.0,41.0,391795.0,273.0,3.0,5348.0,7.0,2061209.0
